iter	RMSE
301	3.505748852
302	3.504298322
303	3.498134233
304	3.495518325
305	3.486562363
306	3.478999999
307	3.477187577
308	3.468552396
309	3.459797857
310	3.457872536
311	3.449116781
312	3.444266391
313	3.437396151
314	3.436485069
315	3.434090338
316	3.425333989
317	3.424132992
318	3.417194213
319	3.411745181
320	3.404512165
321	3.402769476
322	3.39586291
323	3.393784358
324	3.392863589
325	3.390832876
326	3.382354042
327	3.376789076
328	3.370265621
329	3.363378914
330	3.356855382
331	3.349355985
332	3.33954828
333	3.338391395
334	3.336381273
335	3.331264209
336	3.325122186
337	3.316083072
338	3.30884288
339	3.307892588
340	3.306617183
341	3.30435235
342	3.299478025
343	3.294275161
344	3.287636503
345	3.283941359
346	3.277725615
347	3.269601589
348	3.260793817
349	3.25967834
350	3.251063622
351	3.247086483
352	3.239627661
353	3.231458528
354	3.22596665
355	3.218533695
356	3.214417812
357	3.212906452
358	3.206715497
359	3.20356846
360	3.202663021
361	3.199296469
362	3.187008735
363	3.177271388
364	3.168057812
365	3.1669697
366	3.159669177
367	3.153393619
368	3.144264676
369	3.140980143
370	3.132548933
371	3.131285639
372	3.129142904
373	3.123416196
374	3.116127785
375	3.109254582
376	3.100295274
377	3.094834297
378	3.093859467
379	3.084794626
380	3.083078215
381	3.074623405
382	3.069172279
383	3.061166222
384	3.055154188
385	3.049943047
386	3.046781241
387	3.045853538
388	3.039138252
389	3.032255494
390	3.031194242
391	3.02557396
392	3.025012143
393	3.020612309
394	3.014711172
395	3.007692878
396	3.004072988
397	2.996606539
398	2.993692685
399	2.987738755
400	2.98618455
401	2.981395249
402	2.97568558
403	2.967357606
404	2.959521911
405	2.952767411
406	2.947949427
407	2.943406198
408	2.935642756
409	2.934740087
410	2.928106724
411	2.923793409
412	2.915964662
413	2.909175819
414	2.907826336
415	2.903137064
416	2.901326022
417	2.896079754
418	2.88814488
419	2.880009349
420	2.879350102
421	2.873848804
422	2.869464135
423	2.863905093
424	2.85694573
425	2.852364068
426	2.849297994
427	2.848509866
428	2.841776526
429	2.836826289
430	2.829802702
431	2.828990428
432	2.82116005
433	2.815749588
434	2.814193128
435	2.813081988
436	2.806783747
437	2.803474097
438	2.798962167
439	2.792717624
440	2.7892208
441	2.788518707
442	2.779837637
443	2.775744932
444	2.769987923
445	2.766809537
446	2.760459329
447	2.753916411
448	2.749548619
449	2.744104944
450	2.737907585
451	2.73706157
452	2.731753764
453	2.724938227
454	2.718804221
455	2.714954674
456	2.7091911
457	2.707362175
458	2.702694084
459	2.700225473
460	2.694406231
461	2.688976769
462	2.683857044
463	2.679715805
464	2.675786582
465	2.675109374
466	2.673970244
467	2.669066613
468	2.663177728
469	2.66153162
470	2.658326656
471	2.657640595
472	2.655731473
473	2.649840239
474	2.643882923
475	2.638290329
476	2.632723532
477	2.629446864
478	2.624753105
479	2.621373873
480	2.61662249
481	2.611676815
482	2.610718055
483	2.606763712
484	2.603207808
485	2.601642756
486	2.595481201
487	2.59372978
488	2.587090562
489	2.584335757
490	2.582809268
491	2.581196316
492	2.579253495
493	2.576439257
494	2.571845314
495	2.567627691
496	2.565356299
497	2.555563531
498	2.551000217
499	2.547676468
500	2.544794115
501	2.541848139
502	2.539284078
503	2.534509354
504	2.530151739
505	2.526816383
506	2.520413551
507	2.515020614
508	2.513521133
509	2.512699128
510	2.508331434
511	2.507602473
512	2.502389324
513	2.494039701
514	2.488953555
515	2.486442516
516	2.479928087
517	2.478467168
518	2.473251654
519	2.469187339
520	2.467456869
521	2.464890253
522	2.463645225
523	2.459531881
524	2.453379263
525	2.445589432
526	2.439466339
527	2.438153606
528	2.433899996
529	2.429370488
530	2.426029349
531	2.422022594
532	2.415193705
533	2.412860525
534	2.410760726
535	2.407577564
536	2.403998442
537	2.403195055
538	2.400891176
539	2.400369392
540	2.39949432
541	2.392784719
542	2.386741107
543	2.38239423
544	2.376604355
545	2.3745285
546	2.373885436
547	2.370189021
548	2.369016123
549	2.367911145
550	2.367051031
551	2.363757805
552	2.362652853
553	2.362096163
554	2.358925199
555	2.353602863
556	2.350877642
557	2.347061111
558	2.341902962
559	2.334735
560	2.329757873
561	2.325270615
562	2.321232962
563	2.318131059
564	2.314039988
565	2.308475648
566	2.307194814
567	2.302570849
568	2.300738151
569	2.296115896
570	2.293869452
571	2.290714728
572	2.289511471
573	2.288574794
574	2.283698822
575	2.279870994
576	2.279305739
577	2.274972782
578	2.271486815
579	2.26710363
580	2.264376221
581	2.260031376
582	2.258752195
583	2.257975756
584	2.252986434
585	2.249294418
586	2.247086954
587	2.244732196
588	2.243762477
589	2.23917447
590	2.235787496
591	2.23324408
592	2.231037758
593	2.229623879
594	2.228604552
595	2.220786836
596	2.215636403
597	2.21462313
598	2.211823899
599	2.21114367
600	2.203800573
601	2.199110212
602	2.19205177
603	2.190897583
604	2.186735839
605	2.18652265
606	2.183629306
607	2.17912029
608	2.177344798
609	2.175504261
610	2.174851752
611	2.170619611
612	2.166123328
613	2.161895009
614	2.158388784
615	2.155404621
616	2.149876556
617	2.145460045
618	2.142441737
619	2.141806683
620	2.139237898
621	2.135735238
622	2.129690469
623	2.126495262
624	2.122265173
625	2.120757292
626	2.118402842
627	2.114869286
628	2.113487637
629	2.109479777
630	2.103408206
631	2.100654362
632	2.096929525
633	2.095087455
634	2.092241168
635	2.091940375
636	2.089746408
637	2.087675502
638	2.083579718
639	2.078544711
640	2.075312659
641	2.073187201
642	2.072484415
643	2.070350377
644	2.069440053
645	2.06514152
646	2.061076892
647	2.058771293
648	2.055786574
649	2.053193568
650	2.052775435
651	2.048783766
652	2.04780754
653	2.046902336
654	2.045743182
655	2.04140359
656	2.038207809
657	2.036368934
658	2.034979058
659	2.033001874
660	2.032397054
661	2.030134214
662	2.029645283
663	2.025793128
664	2.024842401
665	2.019492067
666	2.017848365
667	2.014700537
668	2.013474387
669	2.011190913
670	2.008418691
671	2.00623177
672	2.005284511
673	2.003374888
674	2.002680191
675	2.000907109
676	1.997986415
677	1.993215804
678	1.992145979
679	1.990444106
680	1.98873352
681	1.985206168
682	1.980491324
683	1.97785306
684	1.975089043
685	1.971412661
686	1.970331554
687	1.968362951
688	1.966095478
689	1.964194799
690	1.961436231
691	1.95784683
692	1.951266865
693	1.946459716
694	1.946048059
695	1.943376547
696	1.940794064
697	1.939005314
698	1.936341347
699	1.931521382
700	1.931154705
701	1.927614242
702	1.923019203
703	1.920834577
704	1.919483349
705	1.91634876
706	1.911379988
707	1.910886112
708	1.909143585
709	1.907482885
710	1.90460114
711	1.903818059
712	1.903493152
713	1.898310901
714	1.897143598
715	1.893658414
716	1.892861938
717	1.890037852
718	1.88922802
719	1.888235154
720	1.884263081
721	1.881503377
722	1.881180581
723	1.877675667
724	1.873502463
725	1.872617585
726	1.869154941
727	1.865621848
728	1.862290537
729	1.859548263
730	1.858149027
731	1.856524498
732	1.852699633
733	1.851693248
734	1.851492111
735	1.849716108
736	1.848978041
737	1.844901785
738	1.842462892
739	1.839885428
740	1.837713655
741	1.833798172
742	1.830777475
743	1.826657877
744	1.824333167
745	1.823112112
746	1.821463069
747	1.820713311
748	1.817555012
749	1.817353442
750	1.814245993
751	1.809546936
752	1.808668508
753	1.8079628
754	1.803415204
755	1.801591189
756	1.799543365
757	1.797859398
758	1.796709386
759	1.795087829
760	1.793008786
761	1.79229
762	1.791411668
763	1.79014433
764	1.789060825
765	1.787196844
766	1.783905285
767	1.778834319
768	1.778234032
769	1.77633034
770	1.773182642
771	1.769957679
772	1.769301842
773	1.764931182
774	1.761967764
775	1.759181266
776	1.75864197
777	1.757558406
778	1.757123107
779	1.754366903
780	1.753732885
781	1.751417465
782	1.747809662
783	1.747428003
784	1.744148973
785	1.742312951
786	1.739249804
787	1.737348594
788	1.736074203
789	1.733519624
790	1.730915722
791	1.729794178
792	1.72805947
793	1.724828126
794	1.722547874
795	1.720672258
796	1.717644421
797	1.714008922
798	1.710401588
799	1.704165942
800	1.701367609
801	1.698612526
802	1.695988297
803	1.69377694
804	1.691804631
805	1.6914051
806	1.6900852
807	1.687495042
808	1.685239161
809	1.684840847
810	1.683388956
811	1.681464332
812	1.679585893
813	1.677336631
814	1.674443281
815	1.674107741
816	1.671380859
817	1.668926718
818	1.664907571
819	1.660883589
820	1.658333571
821	1.655599853
822	1.65470041
823	1.65173644
824	1.650989898
825	1.64963835
826	1.648417218
827	1.644875395
828	1.644120318
829	1.642324804
830	1.639766322
831	1.636690774
832	1.634842733
833	1.630906395
834	1.628626094
835	1.626897826
836	1.625816103
837	1.62504567
838	1.624718916
839	1.622153697
840	1.621408804
841	1.620671805
842	1.619181595
843	1.617883124
844	1.615290811
845	1.61192431
846	1.608609948
847	1.608333938
848	1.60734936
849	1.603722152
850	1.601703697
851	1.601348515
852	1.600507433
853	1.598057283
854	1.597556002
855	1.597242623
856	1.595028147
857	1.592682258
858	1.592123629
859	1.591818817
860	1.590217098
861	1.589880922
862	1.587498045
863	1.586559045
864	1.585822957
865	1.58266229
866	1.581765444
867	1.578633782
868	1.577387239
869	1.576208757
870	1.575649184
871	1.575132153
872	1.572108471
873	1.569037466
874	1.566735853
875	1.566408574
876	1.565100574
877	1.562866053
878	1.56181345
879	1.560416886
880	1.557963552
881	1.556560107
882	1.554160167
883	1.552469419
884	1.549686375
885	1.549407844
886	1.547034033
887	1.543948645
888	1.54346945
889	1.543045776
890	1.539818544
891	1.537252477
892	1.53472411
893	1.532982784
894	1.530738327
895	1.528354821
896	1.524775851
897	1.52247363
898	1.520182135
899	1.518240782
900	1.515998341
901	1.515342925
902	1.513326716
903	1.511932831
904	1.508836541
905	1.506577671
906	1.503961842
907	1.50279106
908	1.500845759
909	1.499279829
910	1.496380944
911	1.495632602
912	1.491612099
913	1.488478056
914	1.487640699
915	1.485909675
916	1.485080093
917	1.484341061
918	1.484078714
919	1.480726217
920	1.479836612
921	1.477797912
922	1.477308791
923	1.474339958
924	1.472146718
925	1.471882826
926	1.469999177
927	1.467016807
928	1.46454349
929	1.46390637
930	1.461023186
931	1.460093177
932	1.459258958
933	1.455976909
934	1.45517523
935	1.45454257
936	1.450240001
937	1.449728512
938	1.448456161
939	1.447665403
940	1.446514128
941	1.445718069
942	1.443068385
943	1.440947911
944	1.438868434
945	1.434795759
946	1.434225766
947	1.430296286
948	1.427130791
949	1.42508057
950	1.422461769
951	1.421027655
952	1.417136429
953	1.414460439
954	1.414132762
955	1.412980564
956	1.410597311
957	1.410120998
958	1.407232231
959	1.404289166
960	1.402815552
961	1.401412977
962	1.399677201
963	1.397592423
964	1.397184021
965	1.396417916
966	1.395715784
967	1.395274216
968	1.393086547
969	1.390578127
970	1.387912112
971	1.386774685
972	1.385431565
973	1.384783223
974	1.382912303
975	1.381096677
976	1.378193976
977	1.37687897
978	1.376533616
979	1.375788666
980	1.374447723
981	1.372723479
982	1.372269469
983	1.370895643
984	1.36921097
985	1.366359756
986	1.365704515
987	1.364028647
988	1.362968677
989	1.361083443
990	1.35938849
991	1.359135849
992	1.355803812
993	1.355665573
994	1.351834605
995	1.351436297
996	1.349065517
997	1.348652419
998	1.347966555
999	1.346618877
